Item,Perishability_Type,Season,Mandi_Location,Wholesale_Base_Price,Temperature_C,Rainfall_MM,Fuel_Price_PKR,Distance_KM,Arrival_Trucks,Demand_Index,Spoilage_Risk,Retail_Price_PKR
Grapes (Gola),High,Spring,Rawalpindi Raja Bazar,232,25.0,1.4,292.0,438,41,1,Low,258.75
Colocasia Leaves,High,Spring,Sukkur Grain Market,82,22.9,16.5,305.0,292,84,5,Low,100.82
Garlic Sprouts,Medium,Winter,Hyderabad New Mandi,173,12.8,0.1,278.0,69,42,1,Low,177.1
Pineapple,Low,Monsoon,Hyderabad New Mandi,595,28.4,116.0,278.0,197,73,5,Medium,695.96
Green Apple,Low,Spring,Karachi Sabzi Mandi,363,24.1,21.1,305.0,953,102,2,Medium,478.09
Mint (Pudina),High,Summer,Faisalabad Grain Market,37,35.5,23.4,305.0,90,86,3,High,55.82
Turnip (Shalgam),Medium,Winter,Faisalabad Grain Market,50,8.4,7.4,305.0,303,34,5,Low,69.9
Lychee,High,Monsoon,Sukkur Grain Market,357,30.9,76.8,305.0,235,52,3,Medium,425.74
Peas (Matar),High,Winter,Karachi Sabzi Mandi,123,8.0,6.4,272.5,889,7,1,Medium,192.48
Mushroom (Button),High,Spring,Peshawar Central Mandi,652,25.5,11.4,272.5,523,28,5,Medium,780.27
Sweet Potato (Shakarkandi),Low,Monsoon,Hyderabad New Mandi,94,28.4,100.7,292.0,187,39,4,Medium,119.93
Eggplant (Baingan),Medium,Spring,Quetta Satellite Town Mandi,90,26.7,26.6,305.0,562,35,4,Medium,139.71
Spring Onion,High,Monsoon,Karachi Sabzi Mandi,82,32.7,62.4,272.5,874,44,4,High,160.72
Kiwi (Imported),Medium,Spring,Lahore Badami Bagh,741,28.4,8.4,272.5,151,107,3,Low,749.7
Pomegranate (Kandhari),Low,Monsoon,Peshawar Central Mandi,693,33.9,55.2,292.0,336,9,2,Medium,818.29
Lemon (China),Medium,Winter,Gujranwala Fruit Market,139,13.3,21.0,272.5,329,15,2,Medium,179.09
Ladyfinger (Bhindi),High,Monsoon,Peshawar Central Mandi,145,32.5,77.7,305.0,547,6,5,High,233.72
Cabbage,Medium,Monsoon,Lahore Badami Bagh,60,37.9,41.8,292.0,117,20,2,Medium,76.55
Watermelon (Tarbooz),Medium,Winter,Hyderabad New Mandi,39,8.0,23.0,292.0,168,90,5,Medium,55.32
Strawberry,High,Monsoon,Faisalabad Grain Market,499,33.7,83.4,292.0,118,46,5,Medium,581.51
Papaya,High,Winter,Rawalpindi Raja Bazar,260,13.5,8.0,278.0,560,93,1,Medium,331.48
Mango (Sindhri),High,Spring,Hyderabad New Mandi,199,18.9,8.3,272.5,181,81,3,Low,209.44
Pumpkin (Halwa Kaddu),Low,Spring,Lahore Badami Bagh,61,22.0,14.4,292.0,148,76,5,Low,70.3
Tomato,High,Spring,Peshawar Central Mandi,153,22.7,15.6,272.5,492,27,4,Low,181.57
Guava (Amrood),High,Monsoon,Multan Goods Market,162,28.4,54.7,278.0,100,54,1,Medium,192.17
Spring Onion,High,Summer,Rawalpindi Raja Bazar,89,36.3,18.9,278.0,458,71,1,Medium,128.94
Green Chilies,High,Summer,Islamabad Sabzi Mandi,151,36.2,23.1,292.0,162,36,1,High,213.83
Coconut (Fresh),Low,Spring,Hyderabad New Mandi,400,21.7,5.3,292.0,110,49,2,Low,406.87
Mustard Greens (Sarson),High,Winter,Lahore Badami Bagh,39,17.5,5.0,305.0,498,43,2,Low,70.85
Apricot (Khubani),High,Monsoon,Gujranwala Fruit Market,282,37.6,119.0,292.0,290,61,5,High,398.7
Lotus Stem (Bheen),Low,Winter,Hyderabad New Mandi,96,14.5,12.6,284.5,289,22,3,Low,113.72
Drumstick (Sohanjna),Medium,Monsoon,Hyderabad New Mandi,334,35.5,109.9,272.5,145,11,3,Medium,393.46
Raw Mango (Keri),Medium,Winter,Karachi Sabzi Mandi,80,14.8,2.6,292.0,701,14,5,Medium,136.14
Sweet Melon (Garma),Medium,Spring,Peshawar Central Mandi,73,18.0,5.8,305.0,513,24,5,Medium,117.45
Zucchini,Medium,Summer,Quetta Satellite Town Mandi,89,33.4,7.3,278.0,569,9,5,Medium,137.55
Orange (Kinnow),Medium,Winter,Hyderabad New Mandi,120,11.2,13.0,278.0,242,20,3,Low,134.66
Zucchini (Yellow),Medium,Spring,Lahore Badami Bagh,275,26.7,6.0,284.5,449,65,2,Low,301.75
Carrot,Medium,Summer,Peshawar Central Mandi,97,31.7,26.6,292.0,303,69,4,Medium,130.24
Grapes (Sundarkhani),High,Summer,Multan Goods Market,379,38.7,26.7,284.5,136,75,1,High,519.77
Loquat,High,Summer,Gujranwala Fruit Market,182,36.9,30.0,305.0,122,99,4,High,253.63
Pistachio Fresh,Low,Winter,Gujranwala Fruit Market,1341,14.3,16.3,272.5,257,70,4,Low,1355.84
Lotus Stem (Bheen),Low,Winter,Hyderabad New Mandi,130,2.5,21.5,305.0,168,101,5,Medium,160.4
Lemon (China),Medium,Summer,Islamabad Sabzi Mandi,189,36.8,5.4,284.5,457,80,3,Low,216.25
Drumstick (Sohanjna),Medium,Winter,Peshawar Central Mandi,240,15.6,12.2,284.5,400,90,4,Low,263.91
Beetroot (Chukandar),Medium,Spring,Multan Goods Market,125,18.4,23.5,278.0,139,16,3,Medium,152.59
Rambutan (Imported),High,Monsoon,Faisalabad Grain Market,2087,31.2,100.4,305.0,257,91,5,Medium,2416.62
Sweet Lime (Malta),Medium,Summer,Karachi Sabzi Mandi,137,43.6,4.0,272.5,815,77,4,Medium,204.05
Beetroot (Chukandar),Medium,Monsoon,Sukkur Grain Market,127,33.4,68.8,278.0,204,32,4,Medium,158.41
Onion,Low,Summer,Islamabad Sabzi Mandi,73,39.8,3.5,272.5,538,95,1,Medium,114.54
Watermelon (Tarbooz),Medium,Monsoon,Faisalabad Grain Market,85,33.1,102.2,292.0,299,39,5,Medium,116.5
Red Chili (Fresh),High,Summer,Karachi Sabzi Mandi,208,47.8,12.8,284.5,338,19,3,Medium,259.91
Sweet Lime (Malta),Medium,Spring,Sukkur Grain Market,246,19.9,11.0,272.5,314,4,5,Low,268.33
Grapes (Black),High,Summer,Gujranwala Fruit Market,200,30.3,16.4,305.0,284,75,5,Low,218.34
Raw Mango (Keri),Medium,Spring,Faisalabad Grain Market,80,29.0,5.8,278.0,249,66,4,Low,94.69
Grapes (Sundarkhani),High,Summer,Islamabad Sabzi Mandi,256,38.6,22.9,284.5,166,51,2,High,355.61
Bottle Gourd (Lauki),Medium,Winter,Karachi Sabzi Mandi,73,5.2,8.3,278.0,255,53,5,Low,88.19
Garlic Sprouts,Medium,Monsoon,Islamabad Sabzi Mandi,266,36.9,63.7,292.0,476,5,1,Medium,335.61
Orange (Kinnow),Medium,Spring,Islamabad Sabzi Mandi,291,25.6,4.1,278.0,497,47,4,Low,320.16
Tomato,High,Summer,Sukkur Grain Market,171,42.1,11.2,272.5,94,77,3,Medium,202.16
Orange (Kinnow),Medium,Winter,Karachi Sabzi Mandi,96,6.2,3.1,278.0,794,40,4,Medium,156.82
Garlic (China),Low,Summer,Multan Goods Market,771,30.8,38.7,278.0,161,46,5,Medium,896.45
Lettuce,High,Monsoon,Gujranwala Fruit Market,93,31.0,102.2,292.0,182,86,4,Medium,118.23
Arbi (Taro Root),Medium,Summer,Hyderabad New Mandi,118,46.6,8.2,272.5,46,30,4,Medium,138.89
Lemon (China),Medium,Winter,Quetta Satellite Town Mandi,136,17.7,17.7,278.0,813,13,2,Medium,204.13
Turnip (Shalgam),Medium,Summer,Rawalpindi Raja Bazar,68,40.4,32.4,292.0,454,51,2,Medium,105.99
Red Chili (Fresh),High,Summer,Hyderabad New Mandi,207,32.0,10.5,278.0,68,50,2,Low,211.11
Pistachio Fresh,Low,Spring,Faisalabad Grain Market,1532,19.6,26.9,272.5,187,39,4,Medium,1772.87
Pomegranate (Bedana),Low,Spring,Karachi Sabzi Mandi,778,19.2,29.4,305.0,472,109,2,Medium,924.77
Green Chickpeas (Chholia),High,Summer,Sukkur Grain Market,242,32.0,26.5,278.0,249,88,5,Medium,292.97
Apricot (Khubani),High,Summer,Multan Goods Market,336,41.9,37.2,278.0,224,56,1,High,466.65
Lettuce,High,Winter,Sukkur Grain Market,95,7.8,8.3,305.0,260,75,4,Low,111.76
Mango (Anwar Ratol),High,Summer,Multan Goods Market,188,45.2,39.1,305.0,68,77,2,High,258.24
Onion,Low,Monsoon,Faisalabad Grain Market,160,26.4,90.8,305.0,118,8,1,Medium,192.0
Dates (Aseel),Low,Spring,Peshawar Central Mandi,340,20.9,21.8,278.0,329,9,5,Medium,412.3
Grapes (Black),High,Monsoon,Islamabad Sabzi Mandi,442,35.3,101.0,305.0,424,30,4,High,624.22
Tomato,High,Summer,Rawalpindi Raja Bazar,164,37.8,6.3,278.0,556,51,1,High,253.69
Dates (Rabai),Low,Winter,Faisalabad Grain Market,515,12.5,19.7,278.0,229,13,5,Low,529.87
Lettuce,High,Monsoon,Faisalabad Grain Market,110,36.9,76.2,284.5,133,101,1,High,156.43
Tomato,High,Summer,Quetta Satellite Town Mandi,106,34.4,4.8,272.5,208,100,4,Medium,133.89
Pistachio Fresh,Low,Spring,Hyderabad New Mandi,1481,27.6,16.1,272.5,140,73,1,Low,1489.01
Lychee,High,Summer,Faisalabad Grain Market,373,42.1,6.4,278.0,235,71,1,Medium,442.62
Spring Onion,High,Spring,Peshawar Central Mandi,84,18.1,29.0,305.0,640,47,1,Medium,137.36
Green Apple,Low,Winter,Faisalabad Grain Market,329,16.6,10.0,278.0,219,65,4,Low,341.96
Dates (Rabai),Low,Spring,Faisalabad Grain Market,641,23.5,27.9,272.5,163,20,1,Medium,746.62
Red Bell Pepper,High,Summer,Sukkur Grain Market,377,33.7,32.1,272.5,70,74,1,Medium,437.58
Red Chili (Fresh),High,Winter,Hyderabad New Mandi,351,2.3,21.9,292.0,221,57,1,Medium,417.17
Peas (Matar),High,Spring,Faisalabad Grain Market,308,25.1,14.3,278.0,348,61,2,Low,328.3
Lettuce,High,Spring,Peshawar Central Mandi,187,26.5,2.0,305.0,658,99,1,Medium,256.91
Mango (Anwar Ratol),High,Monsoon,Hyderabad New Mandi,490,28.3,72.6,278.0,118,17,2,Medium,570.83
Beetroot (Chukandar),Medium,Spring,Lahore Badami Bagh,100,25.4,4.3,305.0,220,32,1,Low,114.12
Grapes (Gola),High,Summer,Gujranwala Fruit Market,273,36.8,10.4,305.0,271,104,5,Medium,331.38
Papaya,High,Winter,Gujranwala Fruit Market,156,13.6,23.0,272.5,285,78,2,Medium,195.69
Avocado,Medium,Summer,Islamabad Sabzi Mandi,833,33.0,7.6,292.0,584,99,1,Medium,993.52
Lemon (Desi),Medium,Spring,Sukkur Grain Market,177,25.2,13.6,272.5,269,7,1,Low,192.83
Colocasia Leaves,High,Summer,Rawalpindi Raja Bazar,76,42.9,11.5,278.0,641,81,4,High,139.94
Banana (Sindhi),High,Monsoon,Multan Goods Market,141,32.5,70.9,284.5,161,58,2,Medium,171.85
Jamun,High,Summer,Quetta Satellite Town Mandi,355,35.1,29.2,284.5,353,102,2,High,500.26
Mosambi (Sweet Lime),Medium,Winter,Peshawar Central Mandi,273,16.3,8.2,305.0,359,76,5,Low,296.1
Red Bell Pepper,High,Winter,Gujranwala Fruit Market,378,13.2,4.5,272.5,379,61,4,Low,399.81
Banana (Sindhi),High,Spring,Lahore Badami Bagh,101,27.5,8.4,284.5,392,98,4,Low,124.42
Spinach (Palak),High,Winter,Peshawar Central Mandi,32,5.1,23.5,292.0,279,64,4,Medium,54.05
Bitter Gourd (Karela),High,Summer,Hyderabad New Mandi,137,37.6,25.7,278.0,192,92,1,High,196.12
Fenugreek (Methi),High,Spring,Lahore Badami Bagh,79,27.7,20.6,305.0,370,104,5,Medium,114.57
Spinach (Palak),High,Summer,Peshawar Central Mandi,85,40.2,14.9,278.0,593,107,1,High,149.14
Bitter Gourd (Karela),High,Monsoon,Gujranwala Fruit Market,129,37.0,50.7,305.0,220,79,3,High,188.3
Red Chili (Fresh),High,Summer,Multan Goods Market,239,45.9,28.4,272.5,178,52,5,High,333.18
Chiku (Sapodilla),High,Winter,Karachi Sabzi Mandi,177,12.3,8.1,284.5,891,29,4,Medium,256.96
Onion,Low,Winter,Quetta Satellite Town Mandi,112,4.6,11.1,305.0,542,28,1,Medium,163.39
Spinach (Palak),High,Monsoon,Quetta Satellite Town Mandi,83,35.4,99.6,305.0,664,98,2,High,154.33
Red Bell Pepper,High,Spring,Peshawar Central Mandi,407,25.7,29.8,272.5,616,14,2,Medium,503.62
Cucumber (Kheera),High,Winter,Gujranwala Fruit Market,104,19.5,10.0,292.0,312,5,5,Low,126.73
Kiwi (Imported),Medium,Winter,Lahore Badami Bagh,614,5.5,11.6,278.0,363,76,4,Low,635.26
Garlic (China),Low,Winter,Gujranwala Fruit Market,496,17.2,11.5,284.5,107,75,2,Low,502.46
Chiku (Sapodilla),High,Monsoon,Gujranwala Fruit Market,244,30.0,99.3,278.0,342,59,4,Medium,300.71
Peach (Aroo),High,Monsoon,Faisalabad Grain Market,182,33.8,117.5,284.5,157,84,5,Medium,218.87
Red Bell Pepper,High,Winter,Karachi Sabzi Mandi,370,11.9,24.2,292.0,630,86,5,Medium,464.08
Turnip (Shalgam),Medium,Spring,Faisalabad Grain Market,63,21.5,25.9,272.5,186,12,4,Medium,84.39
Chiku (Sapodilla),High,Winter,Lahore Badami Bagh,158,8.3,20.2,305.0,417,103,2,Medium,208.28
Grapes (Black),High,Summer,Karachi Sabzi Mandi,365,46.7,24.9,284.5,427,18,2,High,518.53
Peas (Matar),High,Summer,Gujranwala Fruit Market,149,43.1,38.3,272.5,391,57,1,High,223.42
Persimmon (Amlok),Medium,Spring,Multan Goods Market,166,22.5,15.3,284.5,218,96,5,Low,179.15
Pomegranate (Bedana),Low,Winter,Lahore Badami Bagh,339,18.2,16.8,284.5,143,53,1,Low,347.56
Lemon (China),Medium,Spring,Peshawar Central Mandi,241,28.5,18.5,305.0,184,15,1,Low,252.97
Mint (Pudina),High,Summer,Peshawar Central Mandi,40,43.3,0.5,272.5,489,4,2,Medium,75.56
Spinach (Palak),High,Winter,Peshawar Central Mandi,52,8.1,19.3,278.0,221,70,3,Low,64.99
Sarda,Medium,Winter,Rawalpindi Raja Bazar,88,9.3,9.1,305.0,605,31,3,Medium,140.06
Raw Banana (Kacha Kela),Medium,Summer,Sukkur Grain Market,79,47.1,22.1,278.0,330,58,1,Medium,110.04
Green Apple,Low,Spring,Karachi Sabzi Mandi,449,20.3,14.2,278.0,989,96,4,Medium,573.82
Ridge Gourd (Tori),High,Spring,Gujranwala Fruit Market,121,24.2,29.7,305.0,339,40,5,Medium,161.24
Beetroot (Chukandar),Medium,Monsoon,Gujranwala Fruit Market,119,34.6,81.6,292.0,328,101,4,Medium,156.98
Sweet Lime (Malta),Medium,Monsoon,Karachi Sabzi Mandi,310,31.2,113.2,292.0,1041,47,3,High,482.11
Cucumber (Kheera),High,Monsoon,Faisalabad Grain Market,58,33.8,68.5,305.0,200,102,5,Medium,79.63
Plum (Aloo Bukhara),High,Spring,Sukkur Grain Market,358,23.6,8.3,292.0,188,15,5,Low,370.84
Coconut (Fresh),Low,Winter,Peshawar Central Mandi,409,19.3,17.5,305.0,278,15,4,Low,427.79
Tomato,High,Winter,Faisalabad Grain Market,75,9.1,4.6,284.5,341,100,1,Low,95.26
Cherry,High,Monsoon,Faisalabad Grain Market,1076,28.1,78.2,272.5,271,71,5,Medium,1253.1
Watermelon (Tarbooz),Medium,Spring,Peshawar Central Mandi,46,23.6,12.5,305.0,182,17,4,Low,58.56
Peach (Aroo),High,Monsoon,Hyderabad New Mandi,300,36.2,118.3,272.5,270,14,5,High,421.83
Sweet Melon (Garma),Medium,Spring,Gujranwala Fruit Market,122,22.3,8.8,284.5,246,45,5,Low,137.07
Apricot (Khubani),High,Spring,Rawalpindi Raja Bazar,329,27.2,13.5,284.5,258,107,1,Low,344.33
Apple (Garcha),Low,Monsoon,Peshawar Central Mandi,351,28.6,54.5,292.0,368,98,5,Medium,426.26
Mosambi (Sweet Lime),Medium,Winter,Multan Goods Market,166,7.1,0.0,278.0,162,47,1,Low,175.48
Cucumber (Kheera),High,Winter,Peshawar Central Mandi,107,18.9,10.8,292.0,210,45,2,Low,119.97
Tinda,High,Spring,Quetta Satellite Town Mandi,104,19.0,4.9,272.5,280,102,2,Low,119.98
Grapes (Sundarkhani),High,Summer,Quetta Satellite Town Mandi,392,35.8,22.1,292.0,356,5,5,High,554.61
Persimmon (Amlok),Medium,Summer,Lahore Badami Bagh,144,42.7,12.3,278.0,433,20,4,Medium,191.54
Banana (Sindhi),High,Summer,Hyderabad New Mandi,93,47.2,30.4,284.5,64,43,4,High,129.75
Ginger,Low,Monsoon,Peshawar Central Mandi,811,35.9,65.9,292.0,375,23,3,Medium,956.02
Spring Onion,High,Winter,Gujranwala Fruit Market,61,8.9,13.5,272.5,132,53,3,Low,68.74
Peas (Matar),High,Summer,Hyderabad New Mandi,116,38.1,10.4,305.0,170,23,3,Medium,144.76
Broccoli,High,Summer,Gujranwala Fruit Market,349,48.0,33.9,284.5,287,103,4,High,488.33
Eggplant (Baingan),Medium,Summer,Karachi Sabzi Mandi,56,34.3,35.7,292.0,232,57,5,Medium,78.9
Dates (Aseel),Low,Summer,Hyderabad New Mandi,209,40.6,0.5,272.5,141,64,4,Medium,248.63
Orange (Kinnow),Medium,Monsoon,Islamabad Sabzi Mandi,191,30.2,42.1,278.0,641,80,5,Medium,257.05
Rambutan (Imported),High,Winter,Islamabad Sabzi Mandi,1472,3.6,4.5,272.5,204,15,1,Low,1483.86
Bitter Gourd (Karela),High,Winter,Lahore Badami Bagh,127,10.7,9.5,272.5,103,30,4,Low,133.43
Garlic Sprouts,Medium,Winter,Hyderabad New Mandi,135,4.7,9.9,284.5,74,26,4,Low,140.05
Lotus Stem (Bheen),Low,Summer,Islamabad Sabzi Mandi,117,35.5,16.4,284.5,593,55,3,Medium,169.94
Raw Banana (Kacha Kela),Medium,Spring,Islamabad Sabzi Mandi,75,20.1,18.3,305.0,635,8,4,Medium,128.6
Persimmon (Amlok),Medium,Monsoon,Multan Goods Market,189,26.5,71.0,292.0,84,46,2,Medium,222.65
Celery,High,Monsoon,Quetta Satellite Town Mandi,281,36.7,73.6,292.0,212,11,3,High,393.37
Spring Onion,High,Monsoon,Rawalpindi Raja Bazar,71,31.3,45.4,272.5,248,51,1,Medium,95.82
Red Bell Pepper,High,Winter,Faisalabad Grain Market,312,12.9,23.4,292.0,139,71,1,Medium,367.32
Fig (Anjeer Fresh),High,Winter,Peshawar Central Mandi,526,7.2,9.8,284.5,210,18,1,Low,538.68
Red Bell Pepper,High,Monsoon,Islamabad Sabzi Mandi,342,33.1,47.5,284.5,558,19,4,Medium,427.27
Strawberry,High,Summer,Faisalabad Grain Market,605,47.1,18.7,292.0,238,43,2,Medium,710.43
Ginger,Low,Spring,Faisalabad Grain Market,934,19.4,10.1,278.0,189,50,3,Low,945.21
Apricot (Khubani),High,Winter,Hyderabad New Mandi,462,8.7,8.6,292.0,106,68,3,Low,468.64
Jamun,High,Winter,Hyderabad New Mandi,297,14.5,8.6,272.5,179,34,3,Low,307.55
Green Chilies,High,Summer,Peshawar Central Mandi,172,35.8,12.9,284.5,401,84,2,Medium,221.67
Apple (Garcha),Low,Summer,Quetta Satellite Town Mandi,340,44.0,12.3,305.0,425,65,3,Medium,418.21
Ridge Gourd (Tori),High,Winter,Karachi Sabzi Mandi,107,2.3,9.1,284.5,407,95,4,Low,131.31
Watermelon (Tarbooz),Medium,Summer,Faisalabad Grain Market,43,35.0,36.4,305.0,171,21,1,Medium,60.52
Eggplant (Baingan),Medium,Summer,Karachi Sabzi Mandi,45,38.6,9.4,292.0,251,47,2,Medium,67.21
Turnip (Shalgam),Medium,Summer,Quetta Satellite Town Mandi,75,47.7,9.9,272.5,643,48,5,Medium,123.21
Spring Onion,High,Spring,Lahore Badami Bagh,115,27.2,19.5,272.5,417,12,2,Low,139.37
Plum (Aloo Bukhara),High,Spring,Rawalpindi Raja Bazar,280,23.5,12.2,272.5,344,29,2,Low,299.83
Cherry,High,Spring,Peshawar Central Mandi,830,28.5,14.3,278.0,408,95,2,Low,853.72
Tomato,High,Summer,Multan Goods Market,90,36.8,14.2,292.0,222,4,5,Medium,121.5
Spring Onion,High,Summer,Quetta Satellite Town Mandi,121,35.0,16.4,278.0,577,7,4,High,199.02
Persimmon (Amlok),Medium,Spring,Islamabad Sabzi Mandi,139,19.4,2.0,305.0,599,89,2,Medium,198.01
Strawberry,High,Spring,Sukkur Grain Market,270,24.5,13.6,278.0,153,59,2,Low,279.01
Radish (Mooli),Medium,Monsoon,Karachi Sabzi Mandi,74,28.1,48.5,272.5,336,9,4,Medium,105.97
Persimmon (Amlok),Medium,Winter,Lahore Badami Bagh,150,4.6,7.9,284.5,343,6,3,Low,172.26
Cabbage,Medium,Spring,Gujranwala Fruit Market,66,23.4,5.8,272.5,133,30,4,Low,74.13
Pumpkin (Halwa Kaddu),Low,Monsoon,Karachi Sabzi Mandi,43,35.1,55.5,292.0,1065,106,2,High,122.92
Plum (Aloo Bukhara),High,Monsoon,Faisalabad Grain Market,338,27.5,119.6,292.0,191,73,3,Medium,400.5
Pumpkin (Halwa Kaddu),Low,Spring,Karachi Sabzi Mandi,41,23.4,5.1,272.5,385,94,1,Low,62.9
Banana (Dhaka),High,Monsoon,Multan Goods Market,268,36.7,58.5,272.5,239,84,1,High,375.42
Mint (Pudina),High,Spring,Quetta Satellite Town Mandi,41,29.1,3.6,292.0,404,38,4,Low,66.04
Beetroot (Chukandar),Medium,Winter,Islamabad Sabzi Mandi,87,17.2,4.6,278.0,323,88,1,Low,105.76
Custard Apple (Sharifa),High,Winter,Islamabad Sabzi Mandi,332,18.9,14.4,278.0,507,21,4,Medium,411.98
Ridge Gourd (Tori),High,Winter,Gujranwala Fruit Market,156,5.4,21.1,292.0,290,36,4,Medium,197.53
Peach (Aroo),High,Spring,Hyderabad New Mandi,221,22.7,22.0,272.5,220,77,3,Medium,266.81
Jamun,High,Monsoon,Faisalabad Grain Market,186,33.7,97.1,272.5,168,87,3,Medium,223.59
Banana (Dhaka),High,Spring,Quetta Satellite Town Mandi,232,22.1,28.2,292.0,453,79,3,Medium,294.53
Apple (Garcha),Low,Winter,Karachi Sabzi Mandi,206,12.1,1.9,292.0,289,51,2,Low,223.75
Onion,Low,Monsoon,Gujranwala Fruit Market,111,26.8,99.1,278.0,270,35,4,Medium,143.79
Pineapple,Low,Summer,Rawalpindi Raja Bazar,524,45.3,27.8,292.0,165,52,4,Medium,612.98
Raw Mango (Keri),Medium,Winter,Multan Goods Market,84,7.0,5.6,272.5,143,90,2,Low,92.22
Ginger,Low,Spring,Hyderabad New Mandi,951,24.8,5.9,272.5,225,52,3,Low,964.03
Pumpkin (Halwa Kaddu),Low,Spring,Hyderabad New Mandi,79,22.5,18.9,292.0,134,88,2,Low,87.25
Bottle Gourd (Lauki),Medium,Spring,Lahore Badami Bagh,80,21.4,11.3,305.0,431,30,4,Low,107.97
Green Apple,Low,Summer,Sukkur Grain Market,597,36.5,18.4,272.5,249,19,2,Low,611.59
Red Chili (Fresh),High,Monsoon,Lahore Badami Bagh,226,34.1,102.6,278.0,260,40,3,High,320.49
Turnip (Shalgam),Medium,Spring,Rawalpindi Raja Bazar,76,26.0,0.8,305.0,454,21,4,Low,105.67
Green Apple,Low,Spring,Gujranwala Fruit Market,540,28.8,17.4,305.0,354,56,1,Low,562.57
Grapes (Sundarkhani),High,Spring,Peshawar Central Mandi,460,29.0,28.9,284.5,255,9,3,Medium,545.46
Pumpkin (Halwa Kaddu),Low,Winter,Multan Goods Market,90,10.4,22.9,305.0,197,21,4,Medium,116.84
Falsa,High,Winter,Gujranwala Fruit Market,361,8.6,6.5,292.0,319,41,3,Low,380.73
Grapes (Sundarkhani),High,Summer,Faisalabad Grain Market,444,31.3,18.1,284.5,150,70,5,Low,453.21
Celery,High,Monsoon,Multan Goods Market,170,34.3,118.1,278.0,238,22,2,High,243.68
Orange (Kinnow),Medium,Monsoon,Hyderabad New Mandi,271,32.3,98.8,305.0,128,36,5,Medium,320.39
Bitter Gourd (Karela),High,Spring,Sukkur Grain Market,220,28.8,16.3,284.5,214,57,1,Low,232.76
Lemon (China),Medium,Spring,Hyderabad New Mandi,213,20.0,25.4,272.5,200,14,2,Medium,256.9
Wood Apple (Bael),Low,Winter,Faisalabad Grain Market,174,12.3,19.0,305.0,316,6,4,Low,196.65
Kiwi (Imported),Medium,Winter,Peshawar Central Mandi,614,13.9,1.5,284.5,300,40,2,Low,632.0
Bottle Gourd (Lauki),Medium,Winter,Rawalpindi Raja Bazar,96,5.0,7.2,272.5,251,55,3,Low,110.49
Lemon (Desi),Medium,Winter,Lahore Badami Bagh,331,7.1,21.0,284.5,174,85,4,Medium,391.17
Strawberry,High,Spring,Hyderabad New Mandi,241,25.2,2.5,272.5,192,44,4,Low,252.3
Radish (Mooli),Medium,Winter,Peshawar Central Mandi,55,9.0,13.9,292.0,250,31,5,Low,70.91
Mustard Greens (Sarson),High,Monsoon,Quetta Satellite Town Mandi,37,29.0,43.2,272.5,561,106,2,Medium,74.48
Avocado,Medium,Winter,Sukkur Grain Market,675,8.8,11.5,305.0,286,39,4,Low,693.62
Orange (Kinnow),Medium,Summer,Multan Goods Market,172,46.3,36.3,305.0,149,71,1,Medium,207.33
Grapefruit,Medium,Winter,Rawalpindi Raja Bazar,109,11.0,11.8,305.0,269,19,4,Low,126.99
Ginger,Low,Spring,Gujranwala Fruit Market,662,25.7,7.7,305.0,354,88,1,Low,684.54
Lemon (China),Medium,Spring,Peshawar Central Mandi,205,21.4,0.1,278.0,317,30,5,Low,224.09
Avocado,Medium,Spring,Sukkur Grain Market,1374,18.9,5.4,305.0,67,18,2,Low,1378.73
Broccoli,High,Winter,Rawalpindi Raja Bazar,242,13.5,5.3,305.0,200,55,5,Low,255.11
Tomato,High,Monsoon,Peshawar Central Mandi,190,27.5,89.3,284.5,690,84,1,High,297.45
Orange (Kinnow),Medium,Spring,Quetta Satellite Town Mandi,219,25.8,1.8,278.0,498,7,4,Low,250.09
Cucumber (Kheera),High,Monsoon,Islamabad Sabzi Mandi,87,35.3,88.5,278.0,518,63,1,High,147.52
Pear (Nashpati),Medium,Spring,Faisalabad Grain Market,189,22.8,29.5,305.0,109,45,1,Medium,224.37
Lemon (Desi),Medium,Spring,Islamabad Sabzi Mandi,426,18.1,16.3,284.5,648,45,3,Medium,528.6
Garlic (China),Low,Monsoon,Rawalpindi Raja Bazar,618,27.9,66.3,284.5,588,56,5,High,869.55
Pear (Nashpati),Medium,Summer,Islamabad Sabzi Mandi,168,32.4,26.7,272.5,359,25,3,Medium,214.1
Coriander (Dhania),High,Spring,Peshawar Central Mandi,67,22.8,29.6,284.5,561,90,4,Medium,110.5
Cabbage,Medium,Monsoon,Sukkur Grain Market,51,33.8,113.4,284.5,103,21,2,Medium,65.16
Mulberry (Shahtoot),High,Spring,Peshawar Central Mandi,190,20.9,9.6,272.5,305,104,1,Low,207.36
Tomato,High,Winter,Islamabad Sabzi Mandi,113,8.5,21.0,284.5,536,41,5,Medium,162.25
Ladyfinger (Bhindi),High,Monsoon,Faisalabad Grain Market,186,28.5,115.7,272.5,77,78,2,Medium,218.39
Green Chickpeas (Chholia),High,Spring,Faisalabad Grain Market,188,18.5,26.7,284.5,68,71,3,Medium,220.42
Lemon (Desi),Medium,Summer,Quetta Satellite Town Mandi,135,38.1,21.0,305.0,587,69,3,High,219.74
Mango (Chaunsa),High,Winter,Peshawar Central Mandi,217,20.0,21.8,278.0,620,70,4,Medium,285.71
